query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
self-loop match,275071.4205915888,107586.47568521324,33772.488294199306,21.2248775590951,7662.585341563445,435418.624,435500.68,0.053415
return entities,449064.50588505,155741.49502161317,124085.61110844827,629.0328187408462,11513.024984612597,451879.944,451998.688,0.07348
return path,450777.71107923385,160108.15806442426,80799.24292653779,393.36215768231403,8459.468950964456,476387.496,476384.312,0.069351
UDF node API,432728.3702024112,150848.77399985903,66555.21164764276,52.02301875015581,8167.2562960622145,451805.184,451881.432,0.064296
vector edge query,280567.08532290737,108560.6836593336,33615.11897478867,-31.464694478921242,8265.067317022398,451983.04,451847.496,0.053108
SET edge prop,257340.06534033958,109346.40268148042,37045.56240996657,205.89710517230205,6639.7765559277905,476438.928,476599.296,0.053448
edge += map,262114.02056986722,121699.67636579926,139909.01423755984,1723.6691299906406,11885.242025810476,476379.12,476404.32,0.060793
REMOVE edge prop,216262.57220680296,87287.7301791941,24273.504364012493,39.00700596344995,5482.182420012268,124157.104,124166.352,0.046369
MERGE edge,355255.6852334307,125944.85180962842,38002.04465592729,-166.6272079852908,6457.232304090396,476602.792,476416.184,0.057673
multi-edge read,328110.5075303481,119166.92548724938,32334.767494755215,-212.07847627570317,5588.024965419571,492773.232,492835.624,0.055433
multi-edge undirected,299722.16066945175,114858.0913055919,32957.42551844377,-52.70414988088724,6394.717843815199,476377.904,476422.504,0.05436
multi-edge demote/promote,633794.8303665821,290258.08907033346,-518276.59001762344,2588.682803464562,-384800.3493285809,404564.816,404783.264,0.177836
UDF echo scalars,1119090.3289491208,292083.37709023344,230328.4765697698,214.64673909540835,8559.279623536611,493054.44,493066.656,0.101806
UDF echo bigint,180287.70200635612,98085.64128081978,96875.0334459717,1248.1332864377732,10366.673118370292,394744.464,394695.112,0.059669
UDF echo list+map,3874926.123222757,781746.2908611073,798575.8193418307,557.3181573322075,24573.01731680562,435642.472,435746.92,0.242869
UDF echo entities,397368.5098058976,148140.6942042884,53498.81773467834,-24.286421319599498,7092.083343843293,492841.36,492964.976,0.064364
UDF echo path,362439.9422924697,135337.62532884622,43587.39220056024,-152.70634187298745,5917.726381816731,476379.104,476391.608,0.060316
UDF echo point+date+vec,277841.6644152933,105130.13390544892,28359.60646393054,-201.89055162011599,4790.529694066973,451806.864,451903.048,0.051468
delete path,790280.0723287724,249103.1401647822,128974.35448835987,-26.452482847267994,14186.30293678763,772868.528,772452.464,0.093378
delete optional null,243936.80533754436,96397.22034529525,29682.25612784678,-28.001496652375266,6305.363711802717,435581.184,435621.36,0.048919
equality matrix,331075.2407117545,119154.7133421699,46043.775750115616,-11.735930021561567,6562.939275446154,476409.264,476445.664,0.055644
distinct mixed,255525.91163295592,99609.14888367716,25670.72283408037,-104.45009926703689,5787.970667524368,435420.496,435446.08,0.050321
edge index eq,325824.8483300036,124690.09347094297,40326.83067162258,70.50684349468281,7239.397710880071,476420.288,476397.536,0.058524
edge index range,370458.6781115311,134989.88889298274,47547.35929109523,-27.42778978440014,7720.523624625164,476388.944,476401.024,0.062293999999999995
date week format,492414.5123140889,142806.95576619226,78106.32716229156,39.07936639940424,4845.443650467226,435417.344,435681.768,0.063147
time from map,383549.4122794526,127570.8238423486,99150.77906825716,116.29482215247431,9012.813212631436,451807.664,451819.792,0.059259
duration arithmetic,640285.2914442602,178179.37963116844,102613.45548532228,230.20572614478726,5307.4683423201795,476381.584,476395.768,0.073717
scalar arithmetic,1417397.5194977901,366569.3887251154,364055.2850184835,1487.0933062296042,12498.18604199152,591314.976,591077.936,0.127537
map projection,229317.33905514993,96274.27729341098,19807.354553916255,-131.3700580631754,4551.554925266362,435430.224,435647.224,0.048574
delete pending node,430554.907693296,161291.32477799815,58201.03132149133,-13.148977422609926,13671.402356653274,593527.488,592307.36,0.06974
delete pending edge,605197.743604059,197743.12722690005,102211.71457220393,71.05355235823266,13612.739856581291,706978.656,708139.68,0.079702
CASE forms,526201.4503150245,162502.77160430633,92279.39285408233,4.859563084861846,6946.607756137257,451980.144,451962.384,0.067525
UDF traverse,223723.694123715,95172.5974234342,20275.483826515676,-92.52111119925655,4949.240735242905,451816.144,452018.744,0.048764
UDF edge inspect,391684.7260483167,150074.7401367228,54130.94201316142,100.83042371382355,7006.232990038752,476472.464,476416.664,0.065765
delete returning,675796.1261867594,235010.55195002953,109741.45029439083,174.4145614054805,14142.289694279432,1075775.824,1075639.104,0.091526
time components,354451.0741778944,137769.3893442599,115740.4303088835,1224.123669357024,9549.19913618417,509146.784,509370.888,0.067145
range step,247912.78466723845,97696.64144868877,26522.146470380078,-50.418625835077485,6301.181072512639,451966.864,451822.28,0.050416
CASE batch,16982835.950390812,3502802.09736281,3542611.649406437,-5356.790510100393,9412.080304563873,435599.68,435499.816,1.027116
map projection star,238254.4232461057,105290.18111545107,20616.810123748237,-144.00245459402748,4882.838913313197,435436.944,435594.496,0.063542
shortestPath row ctx,292443.5758268093,122140.83192397034,140684.8487809403,1352.8921453228513,15998.374546798752,517398.032,517391.92,0.059609
lexer variety,232811.8419837897,96421.37282720259,32485.526999197053,135.5043932482283,6780.697271164745,509148.224,509232.792,0.043855
degree by type,220127.2246412042,93724.27347569352,17458.288205773933,-136.61029778415406,4462.172734142048,451817.464,451803.576,0.048302
pending degree,709200.706817786,234591.69526669313,108849.63977862688,84.05812760905107,12004.687786038625,1059491.696,1059174.432,0.090066
MERGE constrained SET,984870.813518895,256729.47803077614,167833.39246130924,328.81496323248524,11421.75186626691,436649.824,435962.8,0.093759
quarter date,224749.40771662575,93384.84811871908,23738.40360563329,-9.892856233843252,5858.394425116246,394744.184,394939.488,0.048511
collect DISTINCT,16765530.807545332,3629189.54465372,3698439.488258168,2302.9890851410833,46394.612480744974,435704.376,435756.68,1.08107
distinct temporal+point,400184.50242438645,137547.19363166855,53115.67422575928,-12.850604516142862,6897.16229213723,435424.52,435523.296,0.072641
negation,415907.9271419804,139937.12940162717,67032.9818585762,-12.28415415863844,7522.239032715854,451822.144,451814.96,0.063691
comments,188290.84473428602,84844.11126131588,47659.967817132616,447.7929984728966,8355.364703996634,435426.304,435444.376,0.045643
unicode escapes,175953.06218576565,80610.03822113009,11666.18863633728,-144.80357643845457,3760.2532241842896,435420.264,435618.28,0.044123
CYPHER directive,168248.78400680065,82229.63534356268,49275.27420536199,303.35040831711086,6788.640725435265,394745.904,394459.296,0.044648
pattern predicate props,470814014.46387696,91701892.06978095,102022753.23769943,-18662.355576069713,784370.8686812426,452868.96,453005.968,25.116539
OR mixed filter,16679614.312178444,3247858.2648675595,3704334.3230646895,4796.581256750194,41373.74014207149,435418.928,435464.928,0.9888989999999999
all-node scan,187717.6043046769,99556.79121561183,154773.7773224858,1605.633313175547,11272.910438204515,435419.264,435468.768,0.063996
untyped edge scan,222503.33467770007,101330.97989760827,31065.539890137334,290.6786516019956,6896.96291043288,476409.264,476410.576,0.052341
untyped var-length,276884.4677804336,108706.43553241812,33837.76591087575,43.96304437011562,8039.384605410196,451818.704,451852.368,0.05423
multi-label write,826345.6070256269,316080.0611660693,393958.9039293383,4916.855369554021,51019.67735882341,1371333.6,1370478.208,0.130604
WITH star,223582.99759925524,98765.59279794757,23135.12843183676,-12.660446828509215,7290.42633535861,435421.76,435752.512,0.050811
WITH order limit,17320738.93892925,3541815.006669222,4147987.4722117144,450.9848346522469,21757.47192507353,451890.152,451894.416,1.047714
MERGE bound pattern,490452.0827485134,173330.80541900583,115537.77159055808,40.57903911519109,14993.582910367048,545599.28,544824.552,0.08229
betweenness sampled,19527673.47653082,4457794.927206141,3532906.554786523,1882.0369030739903,619030.8980788372,7495655.2,7495240.08,1.09226
labelPropagation iters,306847704.1721062,86476797.54903957,88974328.16001602,143096.20859068443,3624704.8570215935,1322885.28,1319787.6,3.34646
MSF maximize,1762422.8875836872,509873.12671656325,382724.36667571747,1404.56286823788,26184.4862526337,966647.04,972087.28,0.22592999999999996
