query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
distinct mixed,271292.50338320225,116010.36079881739,-2115.450014464684,-330.8744948422231,3043.8713839994703,1937.552,1778.576,0.046329
edge index eq,320630.20951813133,131363.9647858682,6273.169414299123,-318.82207419952726,3929.351226593204,2071.224,2282.84,0.051846
edge index range,369412.1299393624,140104.69187744978,10914.924757578165,-352.05890975938365,3536.945518679085,1908.656,1901.48,0.054143
date week format,242524.28463614715,107631.82256689992,-4431.147336768962,-314.1384050551474,2809.4371272890994,1459.872,1333.992,0.04405
time from map,254093.6698783412,110272.39519558127,-733.9032694544643,-259.1888727708407,3321.264934031471,1973.48,1430.68,0.045252
duration arithmetic,261146.70219855293,111836.87359568277,-449.08191528178753,-293.298984211988,3131.3135380065123,1605.208,1842.048,0.045842
scalar arithmetic,2210368.1555869607,498378.19724802714,478111.0743280971,787.083785213507,13010.465143536312,2338.968,2754.944,0.155039
map projection,290598.9202169686,136681.81807569833,144015.50800427567,1218.829725856949,13303.27030126725,1669.576,1934.704,0.055785
delete pending node,14194612.857600369,2605939.8667097893,3816571.6443318757,217.20486784782634,307898.4671604195,3589045.984,3588602.32,0.744608
delete pending edge,25745085.12904979,4652177.6846179785,7081284.2523526875,932.6560832730066,569138.0464781144,7095031.92,7095275.776,1.34592
CASE forms,613525.6582527714,199275.7381028006,161817.60774298894,684.0803443492889,12177.52679117747,1970.408,1919.328,0.081306
UDF traverse,898080.4944609748,264894.14918511757,137056.26154889216,169.16824407683163,10198.103976328972,1822.536,2052.584,0.088863
UDF edge inspect,478166.68580126896,171664.83447355745,28772.74246409536,-285.66006916462595,5266.199902722843,2333.024,2065.008,0.063045
delete returning,29395949.89431954,5243911.547646636,7415013.653064303,-3070.4329489616825,539472.9694639809,7101544.0,7101481.28,1.480978
time components,271311.81052769395,124447.47112349194,51309.449539010835,287.9868600364032,7854.851995892494,1622.832,1490.552,0.061679000000000005
range step,271309.28084063606,122076.95890599187,67461.32065981715,344.7194191282295,9414.754894376962,1607.368,2056.328,0.048624
CASE batch,22893941.784990992,4294959.236834511,5514547.3102029255,10003.996315020988,111900.47711522233,2072.848,2334.248,1.254825
map projection star,289028.3790828278,131751.4879019343,100619.08646889184,305.0267974431226,10731.320897540092,1661.344,1478.304,0.06247699999999999
shortestPath row ctx,379954.03377771477,145033.4245943751,29882.131559009245,-160.44147952240357,5230.305563564298,2488.096,2177.192,0.055975
lexer variety,272850.205919049,118380.98840042485,60416.05802248523,247.9985985019171,8191.020812832539,1560.584,1443.68,0.047791
degree by type,284713.3810989552,127608.80992740553,75276.23401358357,356.1252106819827,10611.557204150597,1716.0,2074.448,0.05093
pending degree,23981168.77512063,4339410.0908190245,6573987.1447773725,4426.669521692367,494556.60085844004,5781254.992,5780909.328,1.245592
MERGE constrained SET,498987.6888487725,183806.22495493497,11928.935350077494,-624.931425349929,6126.623702262842,2015.72,1965.632,0.076964
quarter date,279060.29304804665,164633.86890954425,157611.74605586077,2182.6255186880753,13600.880033503407,1462.448,1323.608,0.069274
collect DISTINCT,35917710.44185176,6542652.700758961,7925288.67667177,4768.769117407773,88348.21969443047,6271.32,6970.008,1.863959
distinct temporal+point,278468.26515855244,134314.89295333225,21209.10386440465,248.46554894876456,4522.058630964044,2351.416,1807.952,0.065677
negation,657467.5243182215,210598.05198860387,113814.15642568425,714.7228492466629,8042.196176385049,1687.456,2024.784,0.077601
comments,244238.69553599687,109650.97393950027,16103.630389258475,187.9822990877904,5784.978345152809,1415.808,1329.208,0.044387
unicode escapes,240639.9880395936,107145.11675564312,14385.253853304557,72.37387389303767,5001.0237679233505,1544.272,1395.328,0.043641
CYPHER directive,252198.95504283428,109753.93815780054,7490.191023297742,-58.45920748788392,4169.539401235349,1409.024,1555.328,0.044359
pattern predicate props,33896168.74896247,5752643.215428159,6845518.964255659,-1948.7684132301993,32542.16808337492,11994.56,11573.888,1.637616
OR mixed filter,18592778.781629156,3639624.038773036,5014308.358635283,18608.303642941584,174652.26650947306,1586.0,2396.656,1.082703
all-node scan,254907.12252050056,132513.63049120625,159300.33261091867,3281.962710425909,18108.53115035141,1436.008,1318.68,0.063171
untyped edge scan,244351.88024558497,110654.2543687316,-1938.5204103837534,-135.23834335296456,3379.584356374112,1463.928,1297.888,0.044845
untyped var-length,402770.28102639026,153036.2780273713,19382.06096631012,-159.14110999994003,5126.932636930669,2143.512,2124.304,0.058613
multi-label write,18107756.212006774,3363376.3024244863,5187612.586094844,5056.536138518393,393685.684175774,4200737.088,4200367.44,0.977828
WITH star,287012.0913431232,130299.07253841209,-11299.041798292257,-351.84329550741614,2325.9908134282687,1494.008,2030.8,0.063678
WITH order limit,16837407.853738934,4048638.721559681,2573487.098048043,332.30528304403833,-8990.654097038048,2695.136,2181.792,1.170591
MERGE bound pattern,780261.1262415444,252795.88098959287,145737.623235044,395.0004759520193,16768.40526629933,2261.112,2166.256,0.095173
betweenness sampled,11073782.429350527,2201687.6941696657,2876893.690763064,8099.756260783246,77580.86115201839,18485.68,18502.96,0.641425
